週区分	完成日	日付	PC1	PC2	PC4	PC5	PC6	日別金額
1	2025/07/02	2025/07/02	5065722		377740			5443462
1	2025/07/03	2025/07/03	997558		288762		551300	1837620
1	2025/07/04	2025/07/04	1544577					1544577
2	2025/07/07	2025/07/07	2267084		17170	343931		2628185
2	2025/07/08	2025/07/08	1647811					1647811
2	2025/07/09	2025/07/09	2031525		21756			2053281
2	2025/07/10	2025/07/10	931052		334050			1265102
2	2025/07/11	2025/07/11	1545689					1545689
3	2025/07/14	2025/07/14	1354402	80210		700000		2134612
3	2025/07/15	2025/07/15	6032591	312819		737500		7082910
3	2025/07/16	2025/07/16	1314389		45090	96048		1455527
3	2025/07/17	2025/07/17	768745			155106		923851
3	2025/07/18	2025/07/18	2504680		668100			3172780
3	2025/07/19	2025/07/19	166400					166400
4	2025/07/22	2025/07/22	2380624					2380624
4	2025/07/23	2025/07/23	1086860					1086860
4	2025/07/24	2025/07/24	1681081	69158		569057		2319296
4	2025/07/25	2025/07/25	1590244		386762	58752		2035758
4	2025/07/26	2025/07/26					372000	372000
5	2025/07/28	2025/07/28	2990074		343400	96708		3430182
5	2025/07/29	2025/07/29	431822		276640		1018611	1727073
合計		合計	38332930	462187	2759470	2757102	1941911	46253600
