MRP管理者	完成日	指図	品目コード	品目テキスト	計画数	完成数	金額	週区分
PC1	2025/07/29	50120061	P00A0761802	WK-7618A U02 WS-302 I/F	4	4	14056	5
PC1	2025/07/29	50119925	P0A530800	IK-5308 D (F) TOTAL CTRL	5	1	45863	5
PC1	2025/07/29	50119966	PZZA0537622	GK-5376B U22	1	1	85889	5
PC4	2025/07/29	50119718	P0A585100	PK-5851     INPUT PCB	35	35	276640	5
PC6	2025/07/29	50119750	P00A0747105	PK-7471F U05 CTL 6kW ﾙｯｸｽ	100	99	1018611	5
PC1	2025/07/29	50120011	P00A0717109	MK-7171D S09 (MK691 T22)	1	1	30888	5
PC1	2025/07/29	50119984	P0A238103	WK-2381B S03 GUN CONTROL	6	6	255126	5
PC1	2025/07/28	50119812	P0A481900	WK-4819E   DETECT PCB	160	160	549280	5
PC4	2025/07/28	50120084	P0A559706	WK-5597A U06 LINK J 02	100	100	343400	5
PC5	2025/07/28	50120152	P0A219601	CK-2196S01 26P	12	12	28080	5
PC5	2025/07/28	50120121	P0A618900	IK-6189 KEY SW PCB	21	21	68628	5
PC1	2025/07/28	50120064	PZZA0559410	WK-5594A U10 TRANS9:2ROHS	3	2	29638	5
PC1	2025/07/28	50119058	P0A481900	WK-4819E   DETECT PCB	120	120	411960	5
PC1	2025/07/28	50120158	P0A328900	IK-3289B  INTEL C.P.S.	20	20	461500	5
PC1	2025/07/28	50119238	P0A222802	MK-2228E S02 SINGLE PULSE	1	1	36693	5
PC1	2025/07/28	50119990	P00A0747100	PK-7471F CTL RO 6.4k/4.0k	3	3	49833	5
PC1	2025/07/28	50119967	PZZA0586301	IK-5863 S01 +-15V	2	2	12610	5
PC1	2025/07/28	50119994	P00A0720300	WK-7203  RELAY I/F2	24	24	230040	5
PC1	2025/07/28	50118834	P0A440900	IK-4409C  IC KAKIKOMI C1	26	24	1208520	5
PC6	2025/07/26	50119619	P00A0747801	PK-7478A U01(00) ﾙｯｸｽ	50	50	372000	4
PC1	2025/07/25	50119714	P0A555000	WK-5550      FILTER PCB	3	3	9942	4
PC5	2025/07/25	50120004	P0A220100	IK-2201A   ｽﾅﾊﾞｰ(3)  CVCF	24	24	58752	4
PC1	2025/07/25	50120007	P00A0719317	IK-7193E S17 LCD制御PCB	15	15	480540	4
PC4	2025/07/25	50120085	P0A560600	WK-5606A     2ND_DIODE C3	102	102	288762	4
PC4	2025/07/25	50120055	P0A460900	GK-4609 ﾊﾟﾙｽﾄﾗﾝｽ	28	28	98000	4
PC1	2025/07/25	50119597	P0A554904	WK-5549D U04  DC TIG CTRL	4	4	60580	4
PC1	2025/07/25	50120008	P0A518002	IK-5180  U02 POWER PCB	15	15	315570	4
PC1	2025/07/25	50119982	P0A230202	WK-2302C S02 PWM CONTROL	4	4	86124	4
PC1	2025/07/25	50117666	P00A0709102	MK-7091B U02 PR DETECT	48	48	637488	4
