品目	標準原価
11251014200	1153
11251014201	1822
26062001300	2843
54999087200	4300
89101794500	1370
970001450	950
970001460	1270
970001461	274
970102500	15185
970102510	20456
970103170	7790
970103983	3393
970104980	7494
970104990	12733
970105000	1843
970105001	2838
970105002	3490
970105782	27471
970105784	27466
970105785	30965
970105930	1651
970105932	6774
970106072	34025
970106076	36757
970106170	17915
970106210	21242
970106220	20268
970106221	19784
970106222	7829
970106223	7418
970106280	1833
970106300	2687
970106450	2081
970106860	46299
970106870	2169
970106913	19348
970106919	19370
970107640	1891
970107760	2491
970107761	2803
970107800	2782
970107801	2647
970107802	2647
970110090	22258
970110960	15437
970111610	15134
970111611	15127
970111800	30937
970111932	26317
970111940	1841
970111960	22453
970112140	4117
970112443	4591
970112530	8329
970112800	44133
970300030	1750
970400713	1752
970400714	1761
970400718	1252
970402351	15959
970402352	15600
970402356	15959
970402357	15600
970404370	2491
970404895	1465
970405160	6175
970405170	4263
970405190	6137
970405192	5589
970405210	2125
970405220	6519
970405230	4891
970405240	1415
970405241	3155
970405242	2858
970405260	5093
970405450	4596
970405460	3820
970407060	7601
970407070	5796
970407140	14983
970500290	2423
970500520	7801
970500530	7546
970500531	1278
970500550	2876
970500551	1076
970500620	981
970500621	339
970500630	3036
970500631	3114
970500632	2746
970500633	2664
970500634	2019
970500635	2703
970500636	2904
970500637	1009
971030101	66527
971030103	66534
971030106	66531
971030107	30917
971030108	89205
971030109	70288
971030110	89201
971030111	63694
971030112	39294
971030113	53065
971030114	63879
971030115	59151
971030116	89204
971030123	17604
971030124	23555
971030126	23585
971030127	16367
971030135	17477
971030136	24555
971030137	22087
971030138	23563
971030139	20939
971030168	53398
971030169	53393
971030191	19386
971203224	61803
974100619	1260
974100628	1020
97K000313	407
97K025118	22505
97K025119	19682
97K025120	20626
97K025121	20912
97K050004	2831
97K050005	2833
97K050006	2833
97K057808	27472
97K059303	4063
97K059306	3672
97K060710	35122
97K061002	7158
97K068606	46146
97K068607	40255
97K069131	23626
97K0691D1	19372
97K0691D2	19375
97K077615	2522
97K077622	2428
97K077642	1974
97K077643	2427
97K077644	2434
97K077650	2810
97K077673	1980
97K077674	3223
97K077680	1973
97K077687	2378
97K078006	1938
97K090714	16105
