ﾌﾟﾗﾝﾄ	責任部署	棚卸報告区分	保管場所	保管場所名	工場在庫区分	営業在庫区分	工場区分	工場区分2	使用不可区分	棚番チェック用	所要check
P100	製造2部	3_PC	1240	滋賀ルックス電子	Yes	No	滋賀工場	滋賀工場		False	7_PC外注
P100	製造2部	3_PC	1220	滋賀CELCO大洲	Yes	No	滋賀工場	滋賀工場		False	7_PC外注
P100	製造2部	3_PC	1120	滋賀ＰＣ倉庫（ＡＷＣ）	Yes	No	滋賀工場	滋賀工場		True	1_使用可
P100	製造2部	3_PC	1121	滋賀ＰＣ倉庫（その他）	Yes	No	滋賀工場	滋賀工場		True	1_使用可
P100	製造2部	3_PC	1122	滋賀ＰＣ倉庫（デバイス）	Yes	No	滋賀工場	滋賀工場		True	1_使用可
P100	製造2部	3_PC	1230	滋賀CELCO栗東	Yes	No	滋賀工場	滋賀工場		False	7_PC外注
P100	製造2部	4_変圧	1213	滋賀工場倉庫（変圧）	Yes	No	滋賀工場	滋賀工場		True	1_使用可
P100	製造2部	5_ケース	1211	滋賀工場倉庫（ケース）	Yes	No	滋賀工場	滋賀工場		True	1_使用可
P100	製造2部	6_ヒートシンク	1214	滋賀工場倉庫（フィン）	Yes	No	滋賀工場	滋賀工場		True	1_使用可
P100	製造2部	7_ハーネス	1212	滋賀工場倉庫（ハーネス）	Yes	No	滋賀工場	滋賀工場		True	1_使用可
P100	製造1部	2_製造1部	1215	滋賀工場倉庫（製造）	Yes	No	滋賀工場	滋賀工場		True	1_使用可
P100	資材	1_資材	1210	滋賀工場倉庫（ＡＷＣ）	Yes	No	滋賀工場	滋賀工場		True	1_使用可
P100	資材	1_資材	1143	滋賀海外業務ＨＫＳ倉庫	Yes	No	滋賀工場	滋賀工場		False	4_引当済
P100	資材	1_資材	1142	滋賀海外業務ＳＳＬ倉庫	Yes	No	滋賀工場	滋賀工場		False	4_引当済
P100	資材	1_資材	1940	乙仲倉庫	Yes	No	外部倉庫	外部倉庫		False	4_引当済
P100	資材	1_資材	1144	南沙倉庫（工場）	Yes	No	滋賀工場	外部倉庫		False	4_引当済
P100	資材	1_資材	1310	大阪分工場（旧大阪工場）	Yes	No	滋賀工場	大阪工場		True	6_SES
